name_x,year,count
"salad, chicken",1926.0,1
french pastry 1,1920.0,3
endive with egg,1920.0,2
small beefsteak,1920.0,12
thon a l'huille,1920.0,1
"iced tea, glass",1920.0,1
"omelet, plain",1920.0,5
stuffed tomato,1920.0,1
cold consomme,1921.0,2
chicken halibut,1921.0,1
"salad, chicken",1921.0,5
"pudding, rizzio",1921.0,1
coffee parfait,1921.0,2
wesphalian ham,1921.0,1
chocolate (cup),1919.0,2
chateau lafitte,1919.0,3
maryland club,1919.0,4
chocolate sauce,1919.0,1
deviled crabs,1919.0,2
scrambled eggs,1919.0,9
salted pecans,1919.0,15
hothouse tomato,1919.0,1
spring chicken,1919.0,3
blackberry pie,1919.0,2
coffee parfait,1919.0,1
french pickles,1919.0,3
buttered toast,1919.0,1
stuffed tomato,1919.0,2
bacon with eggs,1919.0,1
cold consomme,1916.0,6
stuffed tomato,1916.0,6
hamburg chicken,1916.0,13
parsnip cakes,1916.0,6
stewed rhubarb,1916.0,4
"egg, baltimore",1916.0,1
crab cocktail,1916.0,1
cracked wheat,1916.0,3
scrambled eggs,1916.0,1
casaba melons,1916.0,1
stewed squash,1916.0,1
prunelle brandy,1918.0,86
stuffed olives,1918.0,14
apple tartlets,2928.0,1
prunelle brandy,2928.0,2
"omelet, plain",1918.0,28
"cazanove, 1906",1918.0,1
small beefsteak,1918.0,22
meringue glacee,1918.0,1
scrambled eggs,1918.0,20
deviled crabs,1918.0,11
buttered toast,1918.0,6
apple tartlets,1918.0,80
cup clam broth,1918.0,1
bacon with eggs,1918.0,1
stuffed tomato,1918.0,2
coffee parfait,1918.0,1
maryland club,1918.0,1
roast chicken,1918.0,2
early june peas,1918.0,1
port du saint,1918.0,1
"pommard, 1909",1918.0,1
sloe gin glass,1918.0,2
endive with egg,1918.0,1
banana fritters,1918.0,2
mutton chops ,1918.0,1
potage lamballe,1918.0,1
french pastry,1917.0,1
blackberry pie,1917.0,27
"omelet, plain",1917.0,4
"iced tea, glass",1917.0,1
maryland club,1917.0,6
cream of wheat,1917.0,2
clam pan roast,1917.0,3
roast chicken,1917.0,51
buttered toast,1917.0,5
english walnuts,1917.0,2
salt mackerel,1917.0,1
sponge pudding,1917.0,1
anheuser busch,1917.0,3
prunelle brandy,1917.0,18
broiled salmon,1917.0,2
scrambled eggs,1917.0,11
fried bluefish,1917.0,1
iced cucumbers,1917.0,1
stewed rhubarb,1917.0,6
cold consomme,1917.0,4
raspberry jelly,1917.0,1
stuffed tomato,1917.0,3
phila ice cream,1917.0,1
seatag oysters,1917.0,1
eggs with bacon,1917.0,2
italian salad,1917.0,1
stuffed olives,1917.0,6
split pea soup,1917.0,1
early june peas,1917.0,5
coffee parfait,1917.0,1
salted pecans,1917.0,4
chicken wo main,1917.0,1
creme caramel,1917.0,4
cracked wheat,1917.0,3
shirred eggs ,1917.0,1
peach ice cream,1917.0,1
sea tag oysters,1917.0,4
potage lamballe,1917.0,21
soft clam stew,1917.0,3
cold duckling,1917.0,1
"chicken, half",1917.0,1
casawba melon,1917.0,1
florida orange,1917.0,1
creamed spinach,1917.0,2
apple tartlets,1917.0,16
deviled crabs,1917.0,4
"potatoes, baked",1917.0,1
comtesse salade,1917.0,2
scrambled eggs,1915.0,5
bromo seltzer,1915.0,2
"iced tea, glass",1915.0,1
stewed rhubarb,1915.0,2
early june peas,1915.0,2
coffee parfait,1915.0,1
hamburg chicken,1915.0,21
cold consomme,1915.0,16
blackberry pie,1915.0,4
stuffed tomato,1915.0,6
italian salad,1915.0,2
"aspic, charvin",1915.0,1
boiled mackerel,1915.0,1
coffee w cake,1915.0,1
broiled salmon,1915.0,1
creamed spinach,1914.0,1
scrambled eggs,1914.0,33
buttered toast,1914.0,13
fried potatoes,1914.0,1
stuffed olives,1914.0,3
broiled salmon,1914.0,7
stuffed tomato,1914.0,63
paprika chicken,1914.0,1
maryland club,1914.0,11
milk crackers,1914.0,7
salt mackerel,1914.0,15
"gin, plymouth",1914.0,7
"eggs fried, two",1914.0,1
filet of beef,1914.0,1
pommes chateau,1914.0,1
peach tapioca,1914.0,1
florida orange,1914.0,9
"clysmic, split",1914.0,1
early june peas,1914.0,7
stewed rhubarb,1914.0,3
"puree, mongole",1914.0,5
tomato sandwich,1914.0,5
english walnuts,1914.0,3
anheuser busch,1914.0,1
chocolate cuts,1914.0,3
deviled crabs,1914.0,3
cold consomme,1914.0,54
french crullers,1914.0,6
speck kartoffel,1914.0,2
imperial water,1914.0,3
blackberry pie,1914.0,36
bromo seltzer,1914.0,5
"chablis, white",1914.0,3
bombay chutney,1914.0,1
"salad, pontin",1914.0,1
half cantaloupe,1914.0,6
peach charlotte,1914.0,2
eggs scrambled,1914.0,1
banana fritters,1914.0,1
"omelet, plain",1914.0,12
"sauternes, 1905",1914.0,1
blackberry tart,1914.0,1
hamburg chicken,1914.0,19
"beef, per cut",1914.0,1
salad lorenzo,1914.0,1
stuffed prunes,1914.0,6
"egg, duvivier",1914.0,4
"sea bass, vatel",1914.0,3
peach ice cream,1914.0,8
broiled poussin,1914.0,1
pintade (demie),1914.0,3
fried haddock,1914.0,2
"salad, chicken",1914.0,4
briarcliff milk,1914.0,1
"potatoes, baked",1914.0,1
smoked sardines,1914.0,1
assmannshaeuser,1914.0,2
russian allasch,1914.0,1
calisaya bark,1914.0,1
honey ice cream,1914.0,1
cracked wheat,1914.0,1
italian salad,1914.0,3
french pastry,1914.0,1
